12_20_19.txt: False, Time: 0.0248 seconds
12_20_23.txt: True, Time: 0.0242 seconds
12_20_22.txt: False, Time: 0.0213 seconds
12_20_1.txt: False, Time: 0.0218 seconds
12_20_24.txt: True, Time: 0.0241 seconds
12_20_16.txt: True, Time: 0.0237 seconds
12_20_2.txt: False, Time: 0.0209 seconds
12_20_20.txt: False, Time: 0.0243 seconds
12_20_29.txt: False, Time: 0.0235 seconds
12_20_28.txt: False, Time: 0.0213 seconds
12_20_10.txt: True, Time: 0.0239 seconds
12_20_9.txt: True, Time: 0.0386 seconds
12_20_14.txt: True, Time: 0.0239 seconds
12_20_5.txt: True, Time: 0.0237 seconds
12_20_25.txt: False, Time: 0.0221 seconds
12_20_7.txt: True, Time: 0.0241 seconds
12_20_26.txt: True, Time: 0.0245 seconds
12_20_13.txt: False, Time: 0.0215 seconds
12_20_3.txt: False, Time: 0.0215 seconds
12_20_30.txt: True, Time: 0.0252 seconds
12_20_12.txt: True, Time: 0.0239 seconds
12_20_21.txt: True, Time: 0.0252 seconds
12_20_8.txt: False, Time: 0.0228 seconds
12_20_15.txt: True, Time: 0.0239 seconds
12_20_4.txt: False, Time: 0.0222 seconds
12_20_27.txt: False, Time: 0.0216 seconds
12_20_17.txt: False, Time: 0.0222 seconds
12_20_6.txt: False, Time: 0.0214 seconds
12_20_11.txt: False, Time: 0.0217 seconds
12_20_18.txt: True, Time: 0.0434 seconds
