12_20_19.txt: False, Time: 0.0598 seconds
12_20_23.txt: True, Time: 0.1172 seconds
12_20_22.txt: False, Time: 0.0323 seconds
12_20_1.txt: False, Time: 0.0563 seconds
12_20_24.txt: True, Time: 0.1105 seconds
12_20_16.txt: True, Time: 0.1432 seconds
12_20_2.txt: False, Time: 0.0308 seconds
12_20_20.txt: False, Time: 0.0567 seconds
12_20_29.txt: False, Time: 0.0557 seconds
12_20_28.txt: False, Time: 0.0599 seconds
12_20_10.txt: True, Time: 0.1286 seconds
12_20_9.txt: True, Time: 0.1150 seconds
12_20_14.txt: True, Time: 0.1381 seconds
12_20_5.txt: True, Time: 0.1099 seconds
12_20_25.txt: False, Time: 0.0306 seconds
12_20_7.txt: True, Time: 0.1359 seconds
12_20_26.txt: True, Time: 0.1343 seconds
12_20_13.txt: False, Time: 0.0552 seconds
12_20_3.txt: False, Time: 0.0318 seconds
12_20_30.txt: True, Time: 0.1102 seconds
12_20_12.txt: True, Time: 0.1125 seconds
12_20_21.txt: True, Time: 0.1135 seconds
12_20_8.txt: False, Time: 0.0560 seconds
12_20_15.txt: True, Time: 0.1145 seconds
12_20_4.txt: False, Time: 0.0536 seconds
12_20_27.txt: False, Time: 0.0594 seconds
12_20_17.txt: False, Time: 0.0550 seconds
12_20_6.txt: False, Time: 0.0331 seconds
12_20_11.txt: False, Time: 0.0610 seconds
12_20_18.txt: True, Time: 0.1180 seconds
