12_10_7.txt: True, Time: 0.2902 seconds
12_10_26.txt: True, Time: 0.3193 seconds
12_10_4.txt: True, Time: 0.3083 seconds
12_10_3.txt: True, Time: 0.2692 seconds
12_10_8.txt: True, Time: 0.3458 seconds
12_10_19.txt: True, Time: 0.3631 seconds
12_10_22.txt: True, Time: 0.2523 seconds
12_10_15.txt: True, Time: 0.3616 seconds
12_10_21.txt: True, Time: 0.2626 seconds
12_10_5.txt: True, Time: 0.3132 seconds
12_10_27.txt: True, Time: 0.2367 seconds
12_10_2.txt: True, Time: 0.2680 seconds
12_10_6.txt: True, Time: 0.2739 seconds
12_10_28.txt: True, Time: 0.2885 seconds
12_10_29.txt: True, Time: 0.3597 seconds
12_10_13.txt: True, Time: 0.3987 seconds
12_10_24.txt: True, Time: 0.3404 seconds
12_10_25.txt: True, Time: 0.2874 seconds
12_10_9.txt: True, Time: 0.2613 seconds
12_10_20.txt: True, Time: 0.2554 seconds
12_10_16.txt: True, Time: 0.2375 seconds
12_10_30.txt: True, Time: 0.2996 seconds
12_10_1.txt: True, Time: 0.2955 seconds
12_10_23.txt: True, Time: 0.2673 seconds
12_10_12.txt: True, Time: 0.2508 seconds
12_10_18.txt: True, Time: 0.2524 seconds
12_10_11.txt: True, Time: 0.2808 seconds
12_10_10.txt: True, Time: 0.2561 seconds
12_10_14.txt: True, Time: 0.2634 seconds
12_10_17.txt: False, Time: 0.0564 seconds
