20_60_15.txt: False, Time: 0.0545 seconds
20_60_13.txt: False, Time: 0.0511 seconds
20_60_4.txt: False, Time: 0.0467 seconds
20_60_10.txt: False, Time: 0.0727 seconds
20_60_16.txt: False, Time: 0.0500 seconds
20_60_2.txt: False, Time: 0.0522 seconds
20_60_8.txt: False, Time: 0.0506 seconds
20_60_6.txt: False, Time: 0.0456 seconds
20_60_9.txt: False, Time: 0.0729 seconds
20_60_12.txt: False, Time: 0.0466 seconds
20_60_11.txt: False, Time: 0.0520 seconds
20_60_5.txt: False, Time: 0.0499 seconds
20_60_19.txt: False, Time: 0.0495 seconds
20_60_14.txt: False, Time: 0.0740 seconds
20_60_17.txt: False, Time: 0.0489 seconds
20_60_3.txt: False, Time: 0.0495 seconds
20_60_20.txt: False, Time: 0.0515 seconds
20_60_7.txt: False, Time: 0.0499 seconds
20_60_1.txt: False, Time: 0.0711 seconds
20_60_18.txt: False, Time: 0.0551 seconds
